bioguide_id,name,wikipedia_link
P000523,"Rep. David E. Price (D, NC-4)",http://en.wikipedia.org/wiki/David_Price_(U.S._politician)
R000011,"Rep. Nick J. Rahall II (D, WV-3)",http://en.wikipedia.org/wiki/Nick_Rahall
R000053,"Rep. Charles B. Rangel (D, NY-13)",http://en.wikipedia.org/wiki/Charles_B._Rangel
R000575,"Rep. Mike Rogers (R, AL-3)",http://en.wikipedia.org/wiki/Mike_D._Rogers
R000395,"Rep. Harold Rogers (R, KY-5)",http://en.wikipedia.org/wiki/Hal_Rogers
R000572,"Rep. Mike Rogers (R, MI-8)",http://en.wikipedia.org/wiki/Mike_Rogers_(Michigan_politician)
R000409,"Rep. Dana Rohrabacher (R, CA-48)",http://en.wikipedia.org/wiki/Dana_Rohrabacher
R000435,"Rep. Ileana Ros-Lehtinen (R, FL-27)",http://en.wikipedia.org/wiki/Ileana_Ros-Lehtinen
R000486,"Rep. Lucille Roybal-Allard (D, CA-40)",http://en.wikipedia.org/wiki/Lucille_Roybal-Allard
R000487,"Rep. Edward R. Royce (R, CA-39)",http://en.wikipedia.org/wiki/Ed_Royce
R000576,"Rep. C. A. Dutch Ruppersberger (D, MD-2)",http://en.wikipedia.org/wiki/Dutch_Ruppersberger
R000515,"Rep. Bobby L. Rush (D, IL-1)",http://en.wikipedia.org/wiki/Bobby_Rush
R000577,"Rep. Tim Ryan (D, OH-13)",http://en.wikipedia.org/wiki/Tim_Ryan_(politician)
R000570,"Rep. Paul Ryan (R, WI-1)",http://en.wikipedia.org/wiki/Paul_Ryan
S001156,"Rep. Linda T. SÃ¡nchez (D, CA-38)",http://en.wikipedia.org/wiki/Linda_S%C3%A1nchez
S000030,"Rep. Loretta Sanchez (D, CA-46)",http://en.wikipedia.org/wiki/Loretta_Sanchez
S000033,"Sen. Bernard Sanders (I, VT)",http://en.wikipedia.org/wiki/Bernie_Sanders
