com_code,com_name,wikipedia_link
HAG15,"Conservation, Energy, and Forestry Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Agriculture_Subcommittee_on_Conservation,_Energy,_and_Forestry"
HAG16,General Farm Commodities and Risk Management Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Agriculture_Subcommittee_on_General_Farm_Commodities_and_Risk_Management
HAG22,"Department Operations, Oversight, and Credit Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Agriculture_Subcommittee_on_Department_Operations,_Oversight,_and_Nutrition"
HAG29,"Livestock, Dairy, and Poultry Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Agriculture_Subcommittee_on_Livestock,_Rural_Development,_and_Credit"
HAP00,Committee on Appropriations,http://en.wikipedia.org/wiki/United_States_House_Committee_on_Appropriations
HAP01,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_Agriculture,_Rural_Development,_Food_and_Drug_Administration,_and_Related_Agencies"
HAP02,Defense Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_Defense
HAP04,"State, Foreign Operations, and Related Programs Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_State,_Foreign_Operations,_and_Related_Programs"
HAP06,"Interior, Environment, and Related Agencies Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_Interior,_Environment,_and_Related_Agencies"
HAP07,"Labor, Health and Human Services, Education, and Related Agencies Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_Labor,_Health_and_Human_Services,_Education,_and_Related_Agencies"
HAP10,"Energy and Water Development, and Related Agencies Subcommittee",http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_Energy_and_Water_Development
HAP15,Homeland Security Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_Homeland_Security
HAP18,"Military Construction, Veterans Affairs, and Related Agencies Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_Military_Construction,_Veterans_Affairs,_and_Related_Agencies"
HAP19,"Commerce, Justice, Science, and Related Agencies Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_Commerce,_Justice,_Science,_and_Related_Agencies"
HAP20,"Transportation, and Housing and Urban Development, and Related Agencies Subcommittee","http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_Transportation,_Housing_and_Urban_Development,_and_Related_Agencies"
HAP23,Financial Services and General Government Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_Financial_Services_and_General_Government
HAP24,Legislative Branch Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Appropriations_Subcommittee_on_the_Legislative_Branch
HAS00,Committee on Armed Services,http://en.wikipedia.org/wiki/United_States_House_Committee_on_Armed_Services
HAS02,Military Personnel Subcommittee,http://en.wikipedia.org/wiki/United_States_House_Armed_Services_Subcommittee_on_Military_Personnel
